id,question
41,What is the protein content in the Pasta Primavera dish?
41,What meal type is the Pasta Primavera recommended for?
42,Is the Harira Soup recipe suitable for a vegan diet?
42,What are the main ingredients used in Harira Soup?
42,How many calories are there per serving of Harira Soup?
42,What meal type is Harira Soup intended for?
42,How long does it take to prepare and cook Harira Soup?
43,What are the main vegetables used in the Vegetable Tagine recipe?
43,Is the Vegetable Tagine a suitable option for a vegetarian diet?
43,How many calories are there in a serving of Vegetable Tagine?
43,What is the protein content of the Vegetable Tagine?
43,What cuisine does the Vegetable Tagine belong to?
44,Is Biryani suitable for a gluten-free diet?
44,What are the main ingredients in the Biryani recipe?
44,How many calories are in a serving of Biryani?
44,What meal type is this Biryani recipe intended for?
44,What is the cuisine type of the Biryani dish?
45,Is the Beetroot Hummus recipe suitable for a vegan diet?
45,What are the main ingredients in the Beetroot Hummus?
45,How many calories are in a serving of Beetroot Hummus?
45,Can I use this Beetroot Hummus as a snack option?
45,What cuisine does the Beetroot Hummus belong to?
46,"How many carbs are in Chicken Yassa, considering it's a low-carb recipe?"
46,Can this Chicken Yassa dish be served without rice for a lower carb option?
46,What main ingredients make up the Chicken Yassa recipe?
46,"Is Chicken Yassa suitable for high-protein diets, and if so, how much protein does it contain?"
46,What is the cooking time for preparing Chicken Yassa from scratch?
47,Is the Zucchini Fritters recipe suitable for a vegetarian diet?
47,What are the main ingredients used in the Zucchini Fritters?
47,How many calories does one serving of Zucchini Fritters contain?
47,Can you tell me the protein content of the Zucchini Fritters?
47,What is the cooking method for making Zucchini Fritters?
48,Is the Moroccan Spiced Carrots recipe suitable for a vegan diet?
48,What are the primary ingredients used in the Moroccan Spiced Carrots dish?
48,How many calories are in the Moroccan Spiced Carrots recipe?
48,What is the preparation method for the Moroccan Spiced Carrots?
48,What type of cuisine does the Moroccan Spiced Carrots belong to?
49,Is this fish taco recipe suitable for a gluten-free diet?
49,How many calories are in the fish tacos?
49,What type of fish is used in this recipe?
49,Can I add additional toppings to the fish tacos?
49,What is the meal type for this recipe?
50,Is the Beef Kebabs recipe suitable for a gluten-free diet?
50,What are the main ingredients used in the Beef Kebabs?
50,How many calories does one serving of Beef Kebabs contain?
50,What is the cooking method for the Beef Kebabs?
50,Which cuisine type does the Beef Kebabs belong to?
51,What are the main ingredients in the Greek Salad recipe?
51,"Can you provide the nutritional information for the Greek Salad, including calories and macronutrients?"
51,Is the Greek Salad suitable for a vegetarian diet?
51,What is the meal type classification for the Greek Salad?
51,What steps are involved in preparing the Greek Salad?
52,What are the main ingredients in the Vegan Burrito Bowl?
52,How many calories does the Vegan Burrito Bowl contain?
52,Is the Vegan Burrito Bowl suitable for a vegan diet?
52,What is the protein content in the Vegan Burrito Bowl?
52,Can you explain the preparation steps for the Vegan Burrito Bowl?
53,Is the Cauliflower Pizza recipe suitable for a gluten-free diet?
53,What are the main ingredients used in the Cauliflower Pizza?
53,How many calories are in a serving of the Cauliflower Pizza?
53,What is the total protein content in the Cauliflower Pizza?
53,How long does it take to prepare and cook the Cauliflower Pizza?
54,Is Chicken Souvlaki a gluten-free option for dinner?
54,What are the main ingredients used in the Chicken Souvlaki recipe?
54,How long do I need to grill the chicken for the Chicken Souvlaki?
54,What is the calorie content of the Chicken Souvlaki dish?
54,Can I serve Chicken Souvlaki with toppings other than tzatziki?
55,What are the main ingredients in the vegan Lentil Dahl recipe?
55,How many calories are there in a serving of the vegan Lentil Dahl?
55,What is the cooking method for preparing the vegan Lentil Dahl?
55,Is the Lentil Dahl suitable for a dinner meal?
55,Can you tell me the protein and carbohydrate content of the vegan Lentil Dahl?
56,Is the Stuffed Cabbage Rolls recipe gluten-free?
56,What are the main ingredients used in the Stuffed Cabbage Rolls?
56,How many calories are in a serving of Stuffed Cabbage Rolls?
56,What cooking methods are used to prepare the Stuffed Cabbage Rolls?
56,What cuisine does Stuffed Cabbage Rolls belong to?
57,Is the Sweet Potato Fries recipe suitable for a vegan diet?
57,What are the ingredients required to make Sweet Potato Fries?
57,How many calories are there in a serving of Sweet Potato Fries?
57,What is the cooking method for the Sweet Potato Fries?
57,Can you tell me the nutritional breakdown of the Sweet Potato Fries?
58,What are the main ingredients in Baba Ganoush that make it suitable for a vegan diet?
58,How many calories are in a serving of Baba Ganoush?
58,Can you tell me the protein content per serving of this Baba Ganoush recipe?
58,What meal type is Baba Ganoush categorized under?
58,What is the primary method of preparation for Baba Ganoush?
59,Is the Tandoori Chicken recipe suitable for a gluten-free diet?
59,What are the calorie and protein content in the Tandoori Chicken dish?
59,How long should I grill the Tandoori Chicken for optimal cooking?
59,What ingredients are required to prepare the Tandoori Chicken?
59,What cuisine does the Tandoori Chicken recipe belong to?
60,Is the Spinach & Feta Quiche suitable for a vegetarian diet?
60,What are the main ingredients in the Spinach & Feta Quiche?
60,How many calories are there in a serving of the Spinach & Feta Quiche?
60,What meal type is the Spinach & Feta Quiche intended for?
60,How long does it take to bake the Spinach & Feta Quiche?
61,Is there a vegetarian version of the Samosas recipe?
61,What are the nutritional facts for the Samosas if I omit the ground beef?
61,Can I use a different type of pastry for the Samosas to make them vegetarian?
61,What alternative ingredients would you recommend for a vegetarian filling in the Samosas?
61,How can I adjust the cooking instructions to ensure the Samosas remain vegetarian?
62,What are the main ingredients used in the Vegetable Biryani recipe?
62,Is the Vegetable Biryani suitable for a vegetarian diet?
62,How many calories does one serving of Vegetable Biryani contain?
62,What meal type is the Vegetable Biryani intended for?
62,What cuisine does the Vegetable Biryani belong to?
63,What are the main ingredients in the Chickpea Salad recipe?
63,Can you provide the nutritional information for the Chickpea Salad?
63,Is the Chickpea Salad suitable for a vegan diet?
63,What type of cuisine does the Chickpea Salad belong to?
63,How is the Chickpea Salad prepared?
64,What are the main ingredients in the Red Lentil Curry recipe?
64,Is the Red Lentil Curry suitable for a vegan diet?
64,How many calories does the Red Lentil Curry contain per serving?
64,What type of meal is the Red Lentil Curry intended for?
64,Can you describe the cooking instructions for the Red Lentil Curry?
65,Is the Greek Yogurt Parfait gluten-free?
65,What are the main ingredients in the Greek Yogurt Parfait?
65,How many calories does the Greek Yogurt Parfait contain?
65,What meal is the Greek Yogurt Parfait suitable for?
65,Can you tell me how to prepare the Greek Yogurt Parfait?
66,Is the Coconut Chia Pudding recipe suitable for a vegan diet?
66,What are the main ingredients in the Coconut Chia Pudding?
66,How many calories are in the Coconut Chia Pudding recipe?
66,Can you explain the preparation method for the Coconut Chia Pudding?
66,What types of fresh fruit can be added to the Coconut Chia Pudding for serving?
67,Is the Quinoa Stuffed Peppers recipe suitable for a vegetarian diet?
67,What are the main ingredients used in the Quinoa Stuffed Peppers?
67,How many calories are in the Quinoa Stuffed Peppers dish?
67,What type of cuisine does the Quinoa Stuffed Peppers recipe belong to?
67,How long do I need to bake the stuffed peppers in the oven?
68,What ingredients are needed to prepare the Moroccan Chickpea Stew?
68,Can you provide the nutritional information for this vegan recipe?
68,Is Moroccan Chickpea Stew suitable for a dinner meal?
68,What is the cooking method for the Moroccan Chickpea Stew?
68,How long does it take to prepare and cook the stew?
69,Is the Shrimp Fried Rice recipe suitable for a gluten-free diet?
69,What are the main ingredients used in the Shrimp Fried Rice recipe?
69,How many calories are in one serving of Shrimp Fried Rice?
69,What is the meal type for the Shrimp Fried Rice recipe?
69,Can you describe the cooking instructions for the Shrimp Fried Rice?
70,Is this Chili Con Carne recipe gluten-free?
70,What are the main ingredients in the Chili Con Carne?
70,How many calories are in one serving of the Chili Con Carne?
70,What is the protein content of the Chili Con Carne?
70,How long does it take to prepare the Chili Con Carne?
71,Is the Fruit Smoothie suitable for a vegan diet?
71,What are the main ingredients in the Fruit Smoothie?
71,How many calories are in the Fruit Smoothie per serving?
71,What is the recommended meal type for the Fruit Smoothie?
71,What is the method for preparing the Fruit Smoothie?
72,Is the Pumpkin Soup suitable for a vegetarian diet?
72,What are the main ingredients used in the Pumpkin Soup recipe?
72,How many calories does the Pumpkin Soup contain?
72,What is the cooking process for making the Pumpkin Soup?
72,How long should the Pumpkin Soup simmer before blending?
73,Is the Baked Ziti recipe suitable for a vegetarian diet?
73,What are the main ingredients used in the Baked Ziti?
73,How many calories does one serving of Baked Ziti contain?
73,What is the recommended cooking time for the Baked Ziti?
73,Can you tell me the protein content in the Baked Ziti recipe?
74,Is the Banana Oatmeal recipe suitable for a vegan diet?
74,What ingredients do I need to make Banana Oatmeal?
74,How many calories are in the Banana Oatmeal?
74,What is the preparation method for the Banana Oatmeal?
74,Is Banana Oatmeal a good option for breakfast?
75,Is Spaghetti Aglio e Olio suitable for a vegetarian diet?
75,What are the main ingredients in Spaghetti Aglio e Olio?
75,How many calories are in a serving of Spaghetti Aglio e Olio?
75,What is the protein content in Spaghetti Aglio e Olio?
75,Can you describe the preparation steps for Spaghetti Aglio e Olio?
76,Is the Vegetarian Sushi Rolls recipe suitable for a vegan diet?
76,What are the main ingredients in the Vegetarian Sushi Rolls?
76,How many calories are in one serving of Vegetarian Sushi Rolls?
76,What is the protein content in the Vegetarian Sushi Rolls?
76,Can I use other vegetables in the Vegetarian Sushi Rolls instead of carrots and cucumber?
77,Is the Sweet and Sour Chicken recipe suitable for a gluten-free diet?
77,What are the main ingredients used in the Sweet and Sour Chicken recipe?
77,How many calories are in a serving of Sweet and Sour Chicken?
77,What meal type is the Sweet and Sour Chicken intended for?
77,Can I serve Sweet and Sour Chicken with rice?
78,What are the main ingredients in the Veggie Burger recipe?
78,How many calories does the Veggie Burger contain?
78,Is the Veggie Burger recipe suitable for a vegan diet?
78,What is the protein content of the Veggie Burger?
78,How do you prepare the Veggie Burger?
79,What are the main ingredients used in the Stuffed Acorn Squash recipe?
79,Can you tell me the total calories in the Stuffed Acorn Squash dish?
79,Is the Stuffed Acorn Squash recipe suitable for a vegetarian diet?
79,What type of meal is the Stuffed Acorn Squash recipe designed for?
79,How do you prepare the Stuffed Acorn Squash before serving?
80,Is the Vegetable Pad Thai suitable for a vegan diet?
80,What are the main ingredients used in the Vegetable Pad Thai recipe?
80,How many calories are in a serving of Vegetable Pad Thai?
80,What is the protein content of this Vegetable Pad Thai dish?
80,What is the cooking method for the Vegetable Pad Thai?
81,Is the Beef Stir-Fry recipe gluten-free?
81,What are the main ingredients in the Beef Stir-Fry?
81,How many calories does the Beef Stir-Fry contain?
81,What meal type is the Beef Stir-Fry suitable for?
81,Can I serve the Beef Stir-Fry with rice or noodles?
82,Is the Potato Wedges recipe suitable for a vegan diet?
82,What is the calorie content of the Potato Wedges?
82,What cooking method is used for preparing the Potato Wedges?
82,How much protein is in the Potato Wedges?
82,What seasonings are included in the Potato Wedges recipe?
83,Is the Garlic Butter Shrimp recipe suitable for a gluten-free diet?
83,What are the main ingredients used in the Garlic Butter Shrimp dish?
83,How many calories are in the Garlic Butter Shrimp recipe?
83,What type of meal is the Garlic Butter Shrimp intended for?
83,What cuisine does the Garlic Butter Shrimp belong to?
84,Is the Spinach and Feta Pie suitable for a vegetarian diet?
84,What is the total calorie count for the Spinach and Feta Pie?
84,How long does it take to prepare and bake the Spinach and Feta Pie?
84,What main ingredients are used in the Spinach and Feta Pie?
84,Can I serve the Spinach and Feta Pie as a dinner option?
85,Is the Zucchini Noodles recipe suitable for a vegan diet?
85,What are the main ingredients for making Zucchini Noodles?
85,Can Zucchini Noodles be prepared quickly for lunch?
85,What is the calorie count per serving of Zucchini Noodles?
85,Does Zucchini Noodles contain any protein?
86,What ingredients do I need to prepare the Vegetable Stir-Fry?
86,How many calories are in the Vegetable Stir-Fry?
86,Is the Vegetable Stir-Fry suitable for a vegan diet?
86,What cooking instructions should I follow for this recipe?
86,What is the protein content in the Vegetable Stir-Fry?
87,What ingredients are used in the Caprese Salad recipe?
87,Is Caprese Salad suitable for a vegetarian diet?
87,How many calories are in the Caprese Salad?
87,What is the preparation method for making Caprese Salad?
87,What type of dish is Caprese Salad categorized as?
88,Is the Chia Seed Pudding suitable for a vegan diet?
88,What ingredients do I need to make Chia Seed Pudding?
88,How many calories are in the Chia Seed Pudding recipe?
88,What meal type is Chia Seed Pudding categorized as?
88,Can you explain the instructions for preparing Chia Seed Pudding?
89,What are the main ingredients in the Vegetable Quesadilla?
89,Is the Vegetable Quesadilla suitable for a vegetarian diet?
89,How many calories are in the Vegetable Quesadilla?
89,What type of cuisine does the Vegetable Quesadilla belong to?
89,What is the preparation method for the Vegetable Quesadilla?
90,Is Chicken Tikka Masala gluten-free?
90,What are the main ingredients in the Chicken Tikka Masala recipe?
90,Can I serve Chicken Tikka Masala with rice or naan?
90,What is the calorie count for Chicken Tikka Masala?
90,How do I prepare the Chicken Tikka Masala?
91,Is the Banana Pancakes recipe suitable for a vegetarian diet?
91,What are the main ingredients used in the Banana Pancakes recipe?
91,How many calories are in the Banana Pancakes?
91,What is the meal type for Banana Pancakes?
91,What is the recommended cuisine type for the Banana Pancakes?
92,Is this Beetroot Salad suitable for a vegan diet?
92,What are the main ingredients in the Beetroot Salad?
92,How many calories are in the Beetroot Salad?
92,What meal type is the Beetroot Salad intended for?
92,Can you provide the preparation instructions for the Beetroot Salad?
93,Is the Tom Yum Soup suitable for a gluten-free diet?
93,What are the main ingredients in the Tom Yum Soup?
93,How many calories are in a serving of Tom Yum Soup?
93,Can you tell me about the protein content in the Tom Yum Soup?
93,What are the cooking instructions for preparing Tom Yum Soup?
94,Is this Ratatouille recipe suitable for a vegan diet?
94,What are the main ingredients in this Ratatouille dish?
94,How many calories are in one serving of Ratatouille?
94,What is the meal type for this recipe?
94,Can I serve Ratatouille hot or cold?
95,What are the main ingredients used in the Thai Green Curry recipe?
95,How many calories are there in a serving of the Thai Green Curry?
95,Is this Thai Green Curry suitable for a vegan diet?
95,What is the protein content per serving of the Thai Green Curry?
95,What meal type is the Thai Green Curry recommended for?
96,Is the Peach Crumble recipe suitable for a vegetarian diet?
96,What are the main ingredients used in the Peach Crumble?
96,How many calories are in a serving of the Peach Crumble?
96,What is the preparation time for the Peach Crumble dessert?
96,Can I find the nutritional information for the Peach Crumble?
97,What ingredients are used in the Vegetable Samosas recipe?
97,How many calories are there in a serving of Vegetable Samosas?
97,Is the Vegetable Samosas recipe vegetarian?
97,What cooking method is used for the Vegetable Samosas?
97,What cuisine type does the Vegetable Samosas belong to?
98,What are the main ingredients used in the Garlic Parmesan Pasta recipe?
98,Is the Garlic Parmesan Pasta suitable for a vegetarian diet?
98,How many calories are in one serving of the Garlic Parmesan Pasta?
98,What is the meal type for the Garlic Parmesan Pasta dish?
98,Can you describe the cooking procedure for the Garlic Parmesan Pasta?
99,Is the Chocolava Cake suitable for a vegetarian diet?
99,What are the main ingredients used in the Chocolava Cake recipe?
99,How many calories are there in a serving of Chocolava Cake?
99,What is the protein content of the Chocolava Cake?
99,How long do I need to bake the Chocolava Cake?
100,What vegetables are used in the Grilled Vegetable Skewers recipe?
100,Is the Grilled Vegetable Skewers recipe suitable for a vegan diet?
100,How many calories are in each serving of the Grilled Vegetable Skewers?
100,What is the preparation method for the Grilled Vegetable Skewers?
100,What is the primary cuisine type of the Grilled Vegetable Skewers?
101,Is the Barley Salad recipe suitable for a vegetarian diet?
101,What are the key ingredients in the Barley Salad?
101,How many calories does the Barley Salad contain?
101,What is the protein content in the Barley Salad?
101,What is the recommended meal type for the Barley Salad?
102,Is the Sesame Chicken recipe suitable for a gluten-free diet?
102,What is the calorie content of the Sesame Chicken dish?
102,Can you tell me the protein amount in the Sesame Chicken recipe?
102,How do you prepare the Sesame Chicken?
102,What meal type is the Sesame Chicken recipe intended for?
103,Is the Curried Lentils recipe suitable for a vegan diet?
103,What are the main ingredients in the Curried Lentils dish?
103,How many calories are in a serving of Curried Lentils?
103,What type of meal is the Curried Lentils recipe intended for?
103,What is the cuisine type of the Curried Lentils recipe?
104,Is this recipe for Roasted Brussels Sprouts suitable for a vegan diet?
104,What ingredients do I need to prepare the Roasted Brussels Sprouts?
104,How many calories are there in the Roasted Brussels Sprouts recipe?
104,What is the cooking temperature and time for the Roasted Brussels Sprouts?
104,Can I serve Roasted Brussels Sprouts as a side dish with other meals?
105,Is this peanut butter cookie recipe suitable for vegetarians?
105,What are the main ingredients in these peanut butter cookies?
105,How many calories are in each serving of the peanut butter cookies?
105,What is the preparation process for making peanut butter cookies?
105,Can you tell me the nutritional breakdown of the peanut butter cookies?
106,What are the main ingredients in the Caprese Skewers recipe?
106,How many calories does one serving of Caprese Skewers contain?
106,Is the Caprese Skewers recipe suitable for a vegetarian diet?
106,What is the meal type of this recipe?
106,How do you prepare the Caprese Skewers?
107,Is the Berry Smoothie recipe suitable for a vegetarian diet?
107,What ingredients are needed to prepare the Berry Smoothie?
107,Can you provide the nutritional information for the Berry Smoothie?
107,What meal type is the Berry Smoothie designed for?
107,What are the steps to make the Berry Smoothie?
108,Is the Chocolate Mousse suitable for a vegetarian diet?
108,What are the main ingredients in the Chocolate Mousse recipe?
108,What is the calorie count of the Chocolate Mousse?
108,How is the Chocolate Mousse prepared and served?
108,What meal type does the Chocolate Mousse fall under?
109,Is the Spicy Tuna Sushi recipe suitable for a gluten-free diet?
109,What is the calorie count for one serving of Spicy Tuna Sushi?
109,Can I include this recipe in my dinner plan for a Japanese cuisine night?
109,What type of fats are present in the Spicy Tuna Sushi and in what amount?
109,How do I prepare the Spicy Tuna Sushi from start to finish?
110,What are the main ingredients in the Maple Oatmeal recipe?
110,Is the Maple Oatmeal recipe suitable for a vegan diet?
110,What is the caloric content of the Maple Oatmeal breakfast?
110,How is the Maple Oatmeal prepared according to the instructions?
110,What meal type does the Maple Oatmeal recipe belong to?
111,Is the Spinach Artichoke Dip suitable for a vegetarian diet?
111,What are the calorie and protein contents of the Spinach Artichoke Dip?
111,Can I serve the Spinach Artichoke Dip as an appetizer?
111,What ingredients are used in the Spinach Artichoke Dip recipe?
111,What is the preparation method for the Spinach Artichoke Dip?
112,Is the Roasted Chicken recipe suitable for a gluten-free diet?
