id,recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens,id
17,Protein Smoothie,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","gluten-free, paleo",snack,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces.",Gluten,17
18,Vegetarian Chili,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",vegan,dinner,American,"Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy,18
19,Vegetarian Chili,"Banana, Whey protein, Almond milk, Peanut butter","dairy-free, gluten-free, vegan",dinner,American,"In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later.",Dairy,19
20,Beef Stir Fry,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegetarian, paleo",breakfast,Mediterranean,"Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,20
21,Lentil Soup,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","paleo, gluten-free",lunch,Mediterranean,"Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Dairy,21
22,Protein Smoothie,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",keto-friendly,dinner,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden.",Peanuts,22
23,Vegetarian Chili,"Banana, Whey protein, Almond milk, Peanut butter",gluten-free,breakfast,American,"Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,23
24,Avocado Toast,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",keto-friendly,snack,Indian,"Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,24
25,Avocado Toast,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","dairy-free, vegan, gluten-free",snack,Italian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor.",Peanuts,25
26,Vegan Buddha Bowl,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","low-carb, dairy-free, paleo",lunch,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Peanuts,26
27,Shrimp Pasta,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",paleo,lunch,American,"Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,27
28,Beef Stir Fry,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","low-carb, vegetarian, vegan",lunch,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later.",Gluten,28
29,Protein Smoothie,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","high-protein, gluten-free, keto-friendly",snack,Mexican,"Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,29
30,Shrimp Pasta,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",gluten-free,lunch,Mediterranean,"In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces.",Eggs,30
31,Gluten-Free Pancakes,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","dairy-free, high-protein",snack,Asian,"In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,31
32,Protein Smoothie,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","keto-friendly, high-protein, paleo",snack,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Peanuts,32
33,Protein Smoothie,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","vegan, paleo, low-carb",dinner,Mediterranean,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,33
34,Vegan Buddha Bowl,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",high-protein,lunch,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Peanuts,34
35,Taco Salad,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","gluten-free, dairy-free, keto-friendly",dinner,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,35
36,Protein Smoothie,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","gluten-free, keto-friendly",dinner,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,36
37,Chicken Caesar Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","low-carb, vegetarian",lunch,Asian,"Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",,37
38,Avocado Toast,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","high-protein, gluten-free",snack,Mexican,"In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,38
39,Vegetarian Chili,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",vegan,dinner,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth.",Eggs,39
40,Lentil Soup,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","low-carb, paleo, gluten-free",snack,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts,40
41,Shrimp Pasta,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",keto-friendly,lunch,Mexican,"Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",,41
42,Shrimp Pasta,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","gluten-free, high-protein",snack,Indian,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes.",Dairy,42
43,Protein Smoothie,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","vegetarian, high-protein",breakfast,Mexican,"In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.",,43
44,Protein Smoothie,"Lentils, Carrots, Celery, Garlic, Vegetable broth","dairy-free, low-carb, keto-friendly",snack,Asian,"Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces.",Gluten,44
45,Lentil Soup,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","paleo, high-protein",breakfast,Indian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool.",Gluten,45
46,Protein Smoothie,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","high-protein, vegan",lunch,Mediterranean,"Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool.",,46
47,Chicken Caesar Salad,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",low-carb,breakfast,Mexican,"Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Gluten,47
48,Avocado Toast,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",vegetarian,lunch,Asian,"Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,48
49,Protein Smoothie,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","high-protein, low-carb",lunch,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,49
50,Protein Smoothie,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",low-carb,lunch,Mediterranean,"Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,50
51,Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",low-carb,lunch,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,51
52,Avocado Toast,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","keto-friendly, vegan, gluten-free",dinner,Mexican,"Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth.",Gluten,52
53,Shrimp Pasta,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",low-carb,dinner,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,53
54,Beef Stir Fry,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","dairy-free, paleo, vegan",breakfast,Indian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces.",Eggs,54
55,Vegetarian Chili,"Lentils, Carrots, Celery, Garlic, Vegetable broth",low-carb,lunch,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth.",Eggs,55
56,Shrimp Pasta,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","keto-friendly, gluten-free, low-carb",dinner,Italian,"Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool.",,56
57,Vegetarian Chili,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","dairy-free, high-protein",lunch,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing.",,57
58,Vegan Buddha Bowl,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",high-protein,snack,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool.",Peanuts,58
59,Taco Salad,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","keto-friendly, paleo",lunch,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes.",Dairy,59
60,Lentil Soup,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegetarian, keto-friendly",dinner,Mexican,"Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Dairy,60
61,Vegan Buddha Bowl,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","low-carb, high-protein, vegan",breakfast,Indian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool.",Gluten,61
62,Lentil Soup,"Banana, Whey protein, Almond milk, Peanut butter",low-carb,dinner,Italian,"Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,62
63,Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",low-carb,snack,Mediterranean,"Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes.",,63
64,Shrimp Pasta,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","paleo, dairy-free",lunch,Mexican,"Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Peanuts,64
65,Protein Smoothie,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","dairy-free, vegan",lunch,Italian,"Roast the vegetables in the oven for 20-25 minutes. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,65
66,Vegan Buddha Bowl,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",paleo,snack,Asian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden.",Eggs,66
67,Beef Stir Fry,"Lentils, Carrots, Celery, Garlic, Vegetable broth",gluten-free,lunch,Mexican,"Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden.",Eggs,67
68,Avocado Toast,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",dairy-free,breakfast,Asian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth.",,68
69,Vegan Buddha Bowl,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","gluten-free, high-protein",breakfast,Mediterranean,"Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,69
70,Shrimp Pasta,"Banana, Whey protein, Almond milk, Peanut butter",vegetarian,snack,American,"Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes.",Eggs,70
