id,recipe_name,ingredients,nutritional_information,dietary_tags,meal_type,cuisine_type,instructions
30,Pumpkin Pie,"Pumpkin puree, Eggs, Cinnamon, Nutmeg, Pie crust","calories: '400', proteins: '8g', fats: '18g', carbs: '50g'",vegetarian,dessert,"Mix pumpkin puree with eggs and spices, Pour the mixture into a pie crust, Bake at 180°C for 45 minutes until set",
31,Vegetable Stir Fry,"Bell peppers, Broccoli, Carrots, Soy sauce, Ginger, Garlic","calories: '250', proteins: '6g', fats: '8g', carbs: '35g'",vegan,lunch,Asian,"Sauté ginger and garlic in a pan, Add vegetables and stir fry for 5-7 minutes, Drizzle with soy sauce and serve with rice"
32,Shito Chicken,"Chicken thighs, Shito sauce, Onions, Garlic, Ginger","calories: '450', proteins: '40g', fats: '20g', carbs: '10g'",low-carb,main course,African,"Season chicken thighs with salt and pepper, Fry the chicken until crispy, Sauté onions, garlic, and ginger, Add Shito sauce and simmer, Serve with fried plantains"
33,Roasted Beet Salad,"Beets, Arugula, Goat cheese, Walnuts, Balsamic vinaigrette","calories: '300', proteins: '10g', fats: '15g', carbs: '35g'",vegetarian,lunch,Mediterranean,"Roast beets in the oven for 30 minutes, Slice the beets and toss with arugula, Top with goat cheese and walnuts, Drizzle with balsamic vinaigrette"
34,Chickpea Curry,"Chickpeas, Coconut milk, Curry powder, Spinach, Tomatoes","calories: '350', proteins: '12g', fats: '20g', carbs: '40g'",vegan,dinner,Indian,"Sauté onions and garlic, Add chickpeas, tomatoes, and curry powder, Stir in coconut milk and simmer for 15 minutes, Add spinach and cook until wilted"
35,Shrimp Pad Thai,"Shrimp, Rice noodles, Peanuts, Bean sprouts, Tamarind sauce","calories: '600', proteins: '25g', fats: '20g', carbs: '70g'",gluten-free,dinner,Asian,"Cook rice noodles according to package instructions, Stir fry shrimp with tamarind sauce, Toss the noodles with shrimp, peanuts, and bean sprouts, Serve hot"
36,Stuffed Mushrooms,"Mushrooms, Cream cheese, Parmesan cheese, Garlic, Herbs","calories: '150', proteins: '6g', fats: '10g', carbs: '5g'",vegetarian,snack,Italian,"Remove the stems from the mushrooms, Mix cream cheese, Parmesan cheese, and garlic, Stuff the mushrooms with the cheese mixture, Bake at 180°C for 15 minutes"
37,Baked Plantains,"Plantains, Olive oil, Cinnamon, Brown sugar","calories: '350', proteins: '2g', fats: '10g', carbs: '65g'",vegan,snack,African,"Slice the plantains and toss with olive oil, cinnamon, and brown sugar, Bake in the oven at 200°C for 20 minutes until caramelized"
38,Vegan Burger,"Black beans, Quinoa, Breadcrumbs, Garlic, Onion, Spices","calories: '400', proteins: '15g', fats: '10g', carbs: '60g'",vegan,lunch,American,"Mash black beans and mix with cooked quinoa, garlic, and onions, Form the mixture into patties and pan-fry, Serve on a bun with toppings of choice"
39,Chimichurri Steak,"Steak, Parsley, Garlic, Olive oil, Vinegar","calories: '500', proteins: '45g', fats: '30g', carbs: '5g'",low-carb,main course,South American,"Grill the steak for 5-6 minutes on each side, Blend parsley, garlic, olive oil, and vinegar into a sauce, Serve the steak with chimichurri sauce on top"
40,Spinach Lasagna,"Lasagna noodles, Spinach, Ricotta cheese, Marinara sauce, Mozzarella cheese","calories: '550', proteins: '25g', fats: '25g', carbs: '60g'",vegetarian,dinner,Italian,"Layer lasagna noodles with spinach, ricotta, and marinara sauce, Top with mozzarella cheese, Bake in the oven at 180°C for 30 minutes"
41,Pasta Primavera,"Pasta, Zucchini, Bell peppers, Garlic, Olive oil, Parmesan cheese","calories: '450', proteins: '15g', fats: '18g', carbs: '60g'",vegetarian,dinner,Italian,"Cook pasta according to package instructions, Sauté zucchini and bell peppers in olive oil, Toss the pasta with the vegetables and garlic, Sprinkle with Parmesan cheese and serve"
42,Harira Soup,"Lentils, Chickpeas, Tomatoes, Onions, Garlic, Spices, Olive oil","calories: '400', proteins: '20g', fats: '15g', carbs: '55g'",vegan,dinner,African,"Sauté onions and garlic in olive oil, Add tomatoes, lentils, and chickpeas, Simmer with spices for 40 minutes, Serve with a slice of lemon"
43,Vegetable Tagine,"Carrots, Zucchini, Sweet potatoes, Chickpeas, Spices, Couscous","calories: '380', proteins: '10g', fats: '12g', carbs: '60g'",vegetarian,dinner,African,"Sauté vegetables with spices, Add chickpeas and simmer until tender, Serve over couscous with a side of harissa"
44,Biryani,"Basmati rice, Chicken, Yogurt, Spices, Onions, Garlic, Ghee","calories: '700', proteins: '30g', fats: '25g', carbs: '90g'",gluten-free,dinner,Indian,"Marinate chicken in yogurt and spices, Fry onions and garlic in ghee, Cook rice with chicken and spices, Serve with a side of raita"
45,Beetroot Hummus,"Beetroot, Chickpeas, Tahini, Lemon juice, Garlic, Olive oil","calories: '250', proteins: '8g', fats: '12g', carbs: '25g'",vegan,snack,Mediterranean,"Blend beetroot, chickpeas, and tahini with lemon juice and garlic, Drizzle with olive oil and serve with pita bread"
46,Chicken Yassa,"Chicken thighs, Onions, Lemon, Mustard, Garlic, Olive oil","calories: '600', proteins: '40g', fats: '30g', carbs: '20g'",low-carb,main course,African,"Marinate chicken in lemon, mustard, and garlic, Sauté onions until caramelized, Add chicken and cook for 30 minutes, Serve with a side of rice or plantains"
47,Zucchini Fritters,"Zucchini, Eggs, Flour, Parmesan cheese, Garlic, Olive oil","calories: '300', proteins: '12g', fats: '15g', carbs: '30g'",vegetarian,snack,Mediterranean,"Grate zucchini and mix with eggs, flour, and Parmesan, Form into patties and fry in olive oil until crispy"
48,Moroccan Spiced Carrots,"Carrots, Cumin, Paprika, Cinnamon, Olive oil, Garlic","calories: '180', proteins: '2g', fats: '8g', carbs: '25g'",vegan,side dish,African,"Sauté garlic in olive oil, Add carrots and spices, Cook for 10 minutes until tender, Serve with fresh cilantro"
49,Fish Tacos,"White fish, Corn tortillas, Cabbage, Lime, Cilantro, Salsa","calories: '350', proteins: '25g', fats: '10g', carbs: '40g'",gluten-free,lunch,Mexican,"Grill the white fish and set aside, Warm tortillas in a pan, Assemble tacos with fish, cabbage, salsa, and a squeeze of lime"
50,Beef Kebabs,"Beef chunks, Bell peppers, Onions, Olive oil, Spices","calories: '450', proteins: '30g', fats: '20g', carbs: '25g'",gluten-free,main course,Middle Eastern,"Marinate beef in olive oil and spices, Skewer with bell peppers and onions, Grill for 10-12 minutes until cooked through"
51,Greek Salad,"Cucumbers, Tomatoes, Feta cheese, Olives, Red onions, Olive oil","calories: '250', proteins: '8g', fats: '18g', carbs: '15g'",vegetarian,side dish,Mediterranean,"Chop cucumbers, tomatoes, and onions, Toss with feta, olives, and olive oil, Season with salt and pepper and serve fresh"
52,Vegan Burrito Bowl,"Brown rice, Black beans, Corn, Avocado, Salsa, Lettuce","calories: '400', proteins: '12g', fats: '15g', carbs: '60g'",vegan,lunch,Mexican,"Cook rice and black beans, Layer rice with beans, corn, avocado, and salsa in a bowl, Top with lettuce and serve"
53,Cauliflower Pizza,"Cauliflower, Mozzarella cheese, Parmesan cheese, Tomato sauce, Basil","calories: '350', proteins: '20g', fats: '18g', carbs: '25g'",gluten-free,dinner,Italian,"Grate cauliflower and mix with mozzarella and Parmesan, Press into a pizza crust and bake for 15 minutes, Top with tomato sauce and basil, Bake for an additional 10 minutes"
54,Chicken Souvlaki,"Chicken breast, Lemon, Garlic, Oregano, Olive oil, Pita bread","calories: '400', proteins: '35g', fats: '15g', carbs: '35g'",gluten-free,dinner,Mediterranean,"Marinate chicken in lemon, garlic, and oregano, Grill the chicken for 8-10 minutes, Serve in pita with tomatoes, lettuce, and tzatziki"
55,Lentil Dahl,"Red lentils, Coconut milk, Garlic, Ginger, Curry powder, Spinach","calories: '300', proteins: '15g', fats: '10g', carbs: '40g'",vegan,dinner,Indian,"Sauté garlic and ginger with curry powder, Add red lentils and coconut milk, Simmer for 20 minutes until thickened, Stir in spinach and serve with naan"
56,Stuffed Cabbage Rolls,"Cabbage, Ground beef, Rice, Tomatoes, Garlic, Onions","calories: '400', proteins: '25g', fats: '15g', carbs: '50g'",gluten-free,main course,Eastern European,"Boil cabbage leaves until soft, Mix ground beef with rice, garlic, and onions, Stuff the cabbage leaves with the beef mixture, Simmer in tomato sauce for 40 minutes"
57,Sweet Potato Fries,"Sweet potatoes, Olive oil, Paprika, Salt, Pepper","calories: '250', proteins: '3g', fats: '10g', carbs: '40g'",vegan,side dish,American,"Slice sweet potatoes into fries, Toss with olive oil, paprika, and salt, Bake at 200°C for 25 minutes until crispy"
58,Baba Ganoush,"Eggplant, Tahini, Garlic, Lemon juice, Olive oil, Parsley","calories: '200', proteins: '3g', fats: '15g', carbs: '15g'",vegan,snack,Middle Eastern,"Roast eggplant until soft, Blend with tahini, garlic, and lemon juice, Drizzle with olive oil and serve with pita"
59,Tandoori Chicken,"Chicken thighs, Yogurt, Tandoori spices, Lemon juice, Garlic","calories: '500', proteins: '40g', fats: '25g', carbs: '15g'",gluten-free,main course,Indian,"Marinate chicken in yogurt, spices, and lemon juice, Grill for 10-12 minutes until charred, Serve with rice or naan bread"
60,Spinach & Feta Quiche,"Spinach, Feta cheese, Eggs, Cream, Pie crust","calories: '400', proteins: '15g', fats: '25g', carbs: '30g'",vegetarian,brunch,French,"Sauté spinach until wilted, Mix with eggs, cream, and feta, Pour into pie crust and bake for 35 minutes at 180°C, Serve warm"
61,Samosas,"Phyllo pastry, Ground beef, Peas, Onions, Spices","calories: '300', proteins: '10g', fats: '15g', carbs: '30g'",vegetarian,snack,Indian,"Sauté ground beef with peas and spices, Wrap the mixture in phyllo pastry, Fry until golden brown, Serve with tamarind chutney"
62,Vegetable Biryani,"Basmati rice, Mixed vegetables, Spices, Yogurt, Onion, Garlic","calories: '500', proteins: '10g', fats: '15g', carbs: '75g'",vegetarian,dinner,Indian,"Sauté onions and garlic, Add mixed vegetables and spices, Stir in yogurt and cooked rice, Serve with raita"
63,Chickpea Salad,"Chickpeas, Cucumber, Tomatoes, Onion, Olive oil, Lemon juice","calories: '250', proteins: '12g', fats: '10g', carbs: '30g'",vegan,lunch,Mediterranean,"Combine chickpeas, cucumber, tomatoes, and onion, Drizzle with olive oil and lemon juice, Toss and serve fresh"
64,Red Lentil Curry,"Red lentils, Coconut milk, Curry paste, Spinach, Onions, Garlic","calories: '350', proteins: '18g', fats: '15g', carbs: '40g'",vegan,dinner,Indian,"Sauté onions and garlic, Add curry paste and red lentils, Stir in coconut milk and spinach, Simmer until lentils are tender"
65,Greek Yogurt Parfait,"Greek yogurt, Granola, Mixed berries, Honey, Almonds","calories: '300', proteins: '20g', fats: '10g', carbs: '40g'",gluten-free,breakfast,Mediterranean,"Layer Greek yogurt with granola and mixed berries, Drizzle with honey, Top with almonds and serve"
66,Coconut Chia Pudding,"Chia seeds, Coconut milk, Maple syrup, Vanilla extract, Fresh fruit","calories: '200', proteins: '5g', fats: '10g', carbs: '25g'",vegan,breakfast,Tropical,"Mix chia seeds with coconut milk and maple syrup, Let sit overnight in the fridge, Serve with fresh fruit on top"
67,Quinoa Stuffed Peppers,"Quinoa, Bell peppers, Black beans, Corn, Spices, Cheese","calories: '400', proteins: '15g', fats: '10g', carbs: '70g'",vegetarian,dinner,Mexican,"Cook quinoa and mix with black beans, corn, and spices, Stuff mixture into bell peppers, Bake for 30 minutes at 180°C"
68,Moroccan Chickpea Stew,"Chickpeas, Tomatoes, Carrots, Spices, Couscous","calories: '400', proteins: '15g', fats: '8g', carbs: '65g'",vegan,dinner,African,"Sauté carrots and spices, Add chickpeas and tomatoes, Simmer for 20 minutes, Serve over couscous"
69,Shrimp Fried Rice,"Shrimp, Rice, Peas, Carrots, Soy sauce, Eggs","calories: '500', proteins: '25g', fats: '15g', carbs: '70g'",gluten-free,dinner,Asian,"Sauté shrimp in a pan, Add rice, peas, and carrots, Stir in soy sauce and scramble eggs, Serve hot"
70,Chili Con Carne,"Ground beef, Beans, Tomatoes, Spices, Onions, Bell peppers","calories: '600', proteins: '30g', fats: '25g', carbs: '50g'",gluten-free,dinner,Tex-Mex,"Brown ground beef, Add onions and bell peppers, Stir in beans and tomatoes, Simmer with spices for 30 minutes"
71,Fruit Smoothie,"Banana, Spinach, Almond milk, Chia seeds, Honey","calories: '250', proteins: '5g', fats: '7g', carbs: '45g'",vegan,breakfast,American,"Blend banana, spinach, almond milk, and chia seeds, Drizzle with honey, Serve immediately"
72,Pumpkin Soup,"Pumpkin, Onion, Garlic, Vegetable broth, Cream","calories: '200', proteins: '5g', fats: '8g', carbs: '30g'",vegetarian,starter,American,"Sauté onion and garlic, Add pumpkin and vegetable broth, Simmer for 20 minutes, Blend until smooth and stir in cream"
73,Baked Ziti,"Pasta, Marinara sauce, Mozzarella cheese, Ricotta cheese, Basil","calories: '600', proteins: '25g', fats: '20g', carbs: '75g'",vegetarian,dinner,Italian,"Cook pasta and mix with marinara sauce, Layer with cheeses in a baking dish, Bake for 25 minutes until golden"
74,Banana Oatmeal,"Oats, Banana, Almond milk, Honey, Cinnamon","calories: '300', proteins: '8g', fats: '5g', carbs: '60g'",vegan,breakfast,American,"Cook oats in almond milk, Stir in mashed banana and honey, Sprinkle with cinnamon before serving"
75,Spaghetti Aglio e Olio,"Spaghetti, Garlic, Olive oil, Red pepper flakes, Parsley","calories: '400', proteins: '10g', fats: '15g', carbs: '60g'",vegetarian,dinner,Italian,"Cook spaghetti, Sauté garlic in olive oil, Toss with spaghetti and red pepper flakes, Garnish with parsley"
76,Vegetarian Sushi Rolls,"Sushi rice, Nori, Avocado, Cucumber, Carrots, Soy sauce","calories: '300', proteins: '6g', fats: '8g', carbs: '50g'",vegan,snack,Japanese,"Cook sushi rice and let cool, Place rice on nori and add vegetables, Roll tightly and slice, Serve with soy sauce"
77,Sweet and Sour Chicken,"Chicken breast, Pineapple, Bell peppers, Soy sauce, Cornstarch","calories: '500', proteins: '35g', fats: '15g', carbs: '60g'",gluten-free,dinner,Chinese,"Fry chicken until golden, Add bell peppers and pineapple, Stir in soy sauce and simmer, Serve with rice"
78,Veggie Burger,"Black beans, Quinoa, Oats, Spices, Burger buns, Lettuce","calories: '350', proteins: '15g', fats: '10g', carbs: '50g'",vegan,lunch,American,"Mash black beans and mix with quinoa and oats, Form patties and grill, Serve on buns with lettuce and condiments"
79,Stuffed Acorn Squash,"Acorn squash, Quinoa, Cranberries, Walnuts, Maple syrup","calories: '400', proteins: '10g', fats: '15g', carbs: '60g'",vegetarian,dinner,American,"Roast acorn squash halves, Cook quinoa and mix with cranberries and walnuts, Stuff into squash and drizzle with maple syrup"
80,Vegetable Pad Thai,"Rice noodles, Tofu, Bean sprouts, Peanuts, Lime, Tamarind paste","calories: '500', proteins: '15g', fats: '20g', carbs: '70g'",vegan,dinner,Thai,"Cook rice noodles, Stir-fry tofu and vegetables, Add noodles and tamarind paste, Serve topped with peanuts and lime"
81,Beef Stir-Fry,"Beef strips, Broccoli, Bell peppers, Soy sauce, Ginger, Garlic","calories: '500', proteins: '30g', fats: '20g', carbs: '40g'",gluten-free,dinner,Asian,"Sauté beef until browned, Add vegetables and stir-fry, Mix in soy sauce, Serve with rice or noodles"
82,Potato Wedges,"Potatoes, Olive oil, Garlic powder, Paprika, Salt","calories: '300', proteins: '5g', fats: '10g', carbs: '50g'",vegan,side dish,American,"Cut potatoes into wedges, Toss with olive oil and seasonings, Bake at 220°C for 30 minutes until crispy"
83,Garlic Butter Shrimp,"Shrimp, Garlic, Butter, Lemon juice, Parsley","calories: '400', proteins: '25g', fats: '30g', carbs: '5g'",gluten-free,dinner,Mediterranean,"Sauté garlic in butter, Add shrimp and cook until pink, Drizzle with lemon juice and garnish with parsley"
84,Spinach and Feta Pie,"Phyllo dough, Spinach, Feta cheese, Eggs, Onion","calories: '320', proteins: '12g', fats: '20g', carbs: '30g'",vegetarian,dinner,Greek,"Sauté onion until translucent, Add spinach and cook until wilted, Mix with feta and eggs, Layer in phyllo and bake at 180°C for 30 minutes"
85,Zucchini Noodles,"Zucchini, Olive oil, Garlic, Cherry tomatoes, Basil","calories: '150', proteins: '4g', fats: '10g', carbs: '10g'",vegan,lunch,Italian,"Spiralize zucchini, Sauté garlic in olive oil, Add zucchini noodles and cherry tomatoes, Cook for 5 minutes and serve with basil"
86,Vegetable Stir-Fry,"Broccoli, Bell peppers, Carrots, Soy sauce, Ginger","calories: '200', proteins: '5g', fats: '5g', carbs: '35g'",vegan,lunch,Asian,"Sauté ginger, Add vegetables, Stir in soy sauce, Cook for 10 minutes and serve over rice"
87,Caprese Salad,"Tomatoes, Mozzarella cheese, Basil, Olive oil, Balsamic vinegar","calories: '300', proteins: '15g', fats: '20g', carbs: '10g'",vegetarian,appetizer,Italian,"Slice tomatoes and mozzarella, Layer with basil, Drizzle with olive oil and balsamic vinegar"
88,Chia Seed Pudding,"Chia seeds, Almond milk, Maple syrup, Berries","calories: '200', proteins: '5g', fats: '10g', carbs: '30g'",vegan,breakfast,American,"Mix chia seeds with almond milk and maple syrup, Let sit overnight, Serve topped with berries"
89,Vegetable Quesadilla,"Tortillas, Bell peppers, Onion, Cheese, Salsa","calories: '350', proteins: '15g', fats: '10g', carbs: '45g'",vegetarian,snack,Mexican,"Sauté vegetables, Place mixture between tortillas with cheese, Cook on a skillet until golden, Cut and serve with salsa"
90,Chicken Tikka Masala,"Chicken, Yogurt, Tomato sauce, Spices, Cream","calories: '600', proteins: '40g', fats: '30g', carbs: '45g'",gluten-free,dinner,Indian,"Marinate chicken in yogurt, Cook with spices and tomato sauce, Stir in cream, Serve with rice or naan"
91,Banana Pancakes,"Banana, Flour, Milk, Eggs, Baking powder","calories: '300', proteins: '10g', fats: '8g', carbs: '50g'",vegetarian,breakfast,American,"Mash bananas, Mix with other ingredients, Cook on a griddle until golden, Serve with syrup"
92,Beetroot Salad,"Beetroot, Feta cheese, Walnuts, Spinach, Olive oil","calories: '250', proteins: '7g', fats: '15g', carbs: '30g'",vegan,lunch,Mediterranean,"Roast beetroot, Mix with spinach and feta, Top with walnuts and drizzle with olive oil"
93,Tom Yum Soup,"Shrimp, Mushrooms, Lemongrass, Chili, Lime","calories: '200', proteins: '20g', fats: '5g', carbs: '10g'",gluten-free,starter,Thai,"Boil water, Add lemongrass and chili, Add shrimp and mushrooms, Cook for 5 minutes and serve with lime"
94,Ratatouille,"Zucchini, Eggplant, Bell peppers, Tomatoes, Herbs","calories: '200', proteins: '5g', fats: '7g', carbs: '30g'",vegan,dinner,French,"Sauté vegetables, Add tomatoes and herbs, Simmer until cooked, Serve hot or cold"
95,Thai Green Curry,"Coconut milk, Green curry paste, Vegetables, Tofu","calories: '400', proteins: '15g', fats: '25g', carbs: '30g'",vegan,dinner,Thai,"Cook vegetables in coconut milk, Stir in curry paste, Add tofu and simmer, Serve with rice"
96,Peach Crumble,"Peaches, Oats, Flour, Brown sugar, Butter","calories: '350', proteins: '5g', fats: '15g', carbs: '55g'",vegetarian,dessert,American,"Slice peaches, Mix with oats, flour, and sugar, Top with crumble and bake for 30 minutes"
97,Vegetable Samosas,"Potatoes, Peas, Spices, Flour, Oil","calories: '300', proteins: '5g', fats: '15g', carbs: '40g'",vegetarian,snack,Indian,"Cook potatoes and peas with spices, Wrap in pastry, Fry until golden brown, Serve with mint chutney"
